"","n","Date","Course","Horse","Stake","Result","Result_comment","Price_taken","sp","win_total","pl_total","bet_profit_loss","running_profit_loss","cumulative_stake","win_percent_strike","profit_loss_percent_strike","win_percent_profit","comments","Price_taken_dec","SP_dec"
"129",129,2022-02-26,"Wolves","Endowed",100,0,"unpl","5/1","4/1",26,66,-100,1316,12900,20.1550387596899,51.1627906976744,10.2015503875969,"Dossing in stalls and missed break. Raced on inner and never picked up. Had it with this track.",6,5
"130",130,2022-03-29,"Fontwell","Transatlantic",100,3,"3rd","5/2","2/1",26,67,-100,1216,13000,20,51.5384615384615,9.35384615384615,"Moore novice taking big class drop v a Bridgewater odds on shot . Didn't work. Never oppose odds on.",3.5,3
"131",131,2022-03-29,"Uttoxeter","River Legend",100,0,"unpl","3.6ex","7/4",26,67,-100,1116,13100,19.8473282442748,51.1450381679389,8.51908396946565,"Travelled well and moved smoothly to front 2 out but immediately ridden once ahead and didn't stay.",3.6,2.8
"132",132,2022-03-31,"Lingfield","Safety First",100,0,"unpl","7/2","4/1",26,67,-100,1016,13200,19.6969696969697,50.7575757575758,7.6969696969697,"Shocking ride by John Fahy. Took him inside. Horse ran badly but was given no chance by taking rails route.",4.5,5
"133",133,2022-04-03,"Cork","Burren Song",100,1,"Won*","5.5ex","7/2",27,68,428,1444,13300,20.3007518796992,51.1278195488722,10.8571428571429,"Ridden more prominently than of late back on turf. TW, headway to dispute 2 out and on top ff.",5.5,4.5
"134",134,2022-04-04,"Redcar","Lightening Company",100,1,"Won*","9/1","9/2",28,69,900,2344,13400,20.8955223880597,51.4925373134328,17.4925373134328,"Well backed. Ridden before half way but got far rail and ran on with one other. Head down on the line.",10,5.5
"135",135,2022-04-06,"Leopardstown","Mutasarref",100,1,"Won*","100/30","13/8",29,70,334,2678,13500,21.4814814814815,51.8518518518518,19.837037037037,"Looked nicely treated on hcp debut for Lyons. Plenty of late money . Cruised round, had race won from 2 out.",4.3,2.6
"136",136,2022-04-08,"Dundalk","Buenaventura",100,2,"2nd","4/1","7/2",29,71,-100,2578,13600,21.3235294117647,52.2058823529412,18.9558823529412,"Looked overpriced: beat main threats ok, but wide running outsider won three parts. Place to be at this track.",5,4.5
"137",137,2022-04-09,"Wolves","Shadow Angel",100,0,"unpl","12/1","6/1",29,71,-100,2478,13700,21.1678832116788,51.8248175182482,18.0875912408759,"Late money. More prominent under pro rider, every chnce, looked good then  fltll, ct  line for 3rd. Last chance.",13,7
"138",138,2022-04-11,"Windsor","Qeyaady",100,0,"unpl","100/30","9/2",29,71,-100,2378,13800,21.0144927536232,51.4492753623188,17.231884057971,"Weak, poorly positioned but never travelling. Balding Spring hcp debutants dangerous - backed and won.",4.3,5.5
"139",139,2022-04-12,"Ayr","Tfou",100,0,"unpl","4.5ex","6/4",29,71,-100,2278,13900,20.863309352518,51.0791366906475,16.3884892086331,"Backed off the boards but hopelessly slow. Usual failure with a Nicky Richards novice up north.  No more.",4.5,2.5
"140",140,2022-04-13,"Beverley","Truly Acclaimed",100,3,"3rd","14/1","11/1",29,72,-100,2178,14000,20.7142857142857,51.4285714285714,15.5571428571429,"Needed to lead from inside draw but didn't. Nowhere to go and switched wide then fw. Desperately unlucky.",15,12
"141",141,2022-05-16,"Lingfield","Violet's Lads",100,0,"unpl","8/1","9/1",29,72,-100,2078,14100,20.5673758865248,51.063829787234,14.7375886524823,"Another hopelessly placed from a wide draw. Not learning this lesson and it stops NOW.",9,10
"142",142,2022-04-17,"Southwell","Quiet Thunder",100,0,"unpl","7/2","7/2",29,72,-100,1978,14200,20.4225352112676,50.7042253521127,13.9295774647887,"Mistake punished. Took this to reverse form with another as unexposed at trip - previous result confirmed.",4.5,4.5
"143",143,2022-04-18,"Cork","Tenzing",100,1,"Won*","6.6ex","9/2",30,73,532,2510,14300,20.979020979021,51.0489510489511,17.5524475524476,"Mulllins hurdle debutant with winner written all over it after three bumper runs at inadequate 2m. Clicked at 3m+.",6.6,5.5
"144",144,2022-04-19,"Worcester","Get Prepared",100,0,"unpl","15ex","10/1",30,73,-100,2410,14400,20.8333333333333,50.6944444444444,16.7361111111111,"Might not have stayed the 27f. Prominent and every chance faded from the back of the last. ETB.",16,11
"145",145,2022-04-19,"Wolves","Dark Flyer",100,0,"unpl","9/1","15/2",30,73,-100,2310,14500,20.6896551724138,50.3448275862069,15.9310344827586,"Rider wanted to make use of stamina but went far too hard in front. Cant win like that at this track. Line thru.",10,8.5
"146",146,2022-04-20,"Bellewstown","Mary Salome",100,0,"unpl","6/1","9/2",30,73,-100,2210,14600,20.5479452054795,50,15.1369863013699,"Inexplicable given how it travelled LTO. This time off bridle early and found nothing. 6yo mare! Unreliable.",7,5.5
"147",147,2022-04-20,"Lingfield","Swiss Pride",100,2,"2nd","11/2","18/5",30,74,-100,2110,14700,20.4081632653061,50.3401360544218,14.3537414965986,"Looked well in down in class and really did nothing wrong. Winner slipped the field, but was well clear of the rest.",6.5,4.6
"148",148,2022-04-21,"Tipperary","Faron",100,1,"Won*","100/30*","100/30",31,75,334,2444,14800,20.9459459459459,50.6756756756757,16.5135135135135,"JO'B ex flat - suited by the sharp track at 2m against staying types, nipped round in front to hold off the main threats who need further.",4.3,4.3
"149",149,2022-04-21,"Tipperary","Stay Local",100,3,"3rd","6/1","4/1",31,76,-100,2344,14900,20.8053691275168,51.006711409396,15.7315436241611,"Had been at wrong trip in maidens and 1 hcp, up markedly here, backed, but shaped like it wanted further still. Outpaced ran on.",7,5
"150",150,2022-04-24,"Bath","Airshow",100,1,"Won*","5/1*","5/1",32,77,500,2844,15000,21.3333333333333,51.3333333333333,18.96,"Looks well in,7lb lower back on turf despite no evidence of a difference. Has ideal conditions, fast ground 5f, and likes to lead up against a few who can miss the break.
Taken on for the lead but had the race to himself from two out and nothing got past. Handicap error.",6,6
"151",151,2022-04-28,"Chepstow","Aaday Atatime",100,0,"unpl","9/2","9/2",32,77,-100,2744,15100,21.1920529801325,50.9933774834437,18.1721854304636,"2yo form nothing great but some lines suggest that he could be well treated for hcp debut and the opposition here is notably weak. Trainer hitting form.
Ran abysmally. Badly outpaced, unbalanced, beaten after two furlongs and never passed a rival - last.",5.5,5.5
"152",152,2022-05-02,"Bath","Kratos",100,0,"unpl","100/30","3/1",32,77,-100,2644,15200,21.0526315789474,50.6578947368421,17.3947368421053,"Can reverse CD run with one that beat him, less well positioned and was running on late, and is less exposed. One at a shorter price may have temperament issues.
Places confirmed as ever. Punished for breaking rules. Ran poorly 4th of 7 - no finishing kick.",4.3,4
"153",153,2022-05-03,"Lingfield","Swiss Pride",100,0,"unpl","4/1","3/1",32,77,-100,2544,15300,20.9150326797386,50.3267973856209,16.6274509803922,"Bumped into an in form CD specialist when clear of the third last time when looking well in. Still on same mark and worth another go with Buick booked.
Really poor run. No excuses other than needing to make his run inside which is hard to do here.",5,4
"154",154,2022-05-03,"Ballinrobe","Noble Birth",100,3,"3rd","7/2","100/30",32,78,-100,2444,15400,20.7792207792208,50.6493506493506,15.8701298701299,"Had plenty runs for a maiden, faster ground than usual. Could have run in later race over further, has to give wt to fav, but has best raw form and this may be an opportunity.
Too exposed for this, wants further than this. First three same pos all the way. No turn of foot.",4.5,4.3
"155",155,2022-05-04,"Fontwell","Forward Plan",100,2,"2nd","3/1","16/5",32,79,-100,2344,15500,20.6451612903226,50.9677419354839,15.1225806451613,"Been messing around over shorter in qualifiers - up to a trip today for yard who know what they're doing - brakes off?
Brakes were off but couldn’t get past one that made all.",4,4.2
"156",156,2022-05-06,"Market Rasen","Jay Bee Why",100,3,"3rd","4/1","100/30",32,80,-100,2244,15600,20.5128205128205,51.2820512820513,14.3846153846154,"Should be well suited by a step up in trip and has looked a well handicapped horse since reverting to timber. Alan King a huge obstacle for me though.
Looked the winner over the last but faded into third. He clearly didn't stay. Alan King again.",5,4.3
"157",157,2022-05-06,"Ripon","Bit Of A Quirke",100,2,"2nd","20/1","11/1",32,81,-100,2144,15700,20.3821656050955,51.5923566878981,13.656050955414,"Could be overpriced after encouraging run FTO when going well from the front. Came on a ton for first run last year, falling in wts and tactics suit this track from inside draw.
Everything right bar the result. Led but one got past, and an outsider at that. Btn a head. Never a break!",21,12
"158",158,2022-05-06,"Ripon","Letter Of The Law",100,0,"unpl","11/2","7/2",32,81,-100,2044,15800,20.253164556962,51.2658227848101,12.9367088607595,"Taken to beat 4 who reoppose. Best form yet when second LTO, 2nd hcp, finishing well and clear of rest after switching wide. Should progress again for powerful Nmkt yard.
Just an abysmal showing. Probably hated the course and didn't get the best of runs, but abject anyway.",6.5,4.5
"159",159,2022-05-07,"Cork","Mitiva",100,3,"3rd","4.8ex","11/4",32,82,-100,1944,15900,20.125786163522,51.5723270440252,12.2264150943396,"Others exposed, ungenuine or coming off the flat for this maiden hdl. Form of her bumper win is good enough if overcoming inexperience.
Utterly clueless. Couldn't jump and beaten by the second flight. Some late progress but a lot to learn.",4.8,3.8
"160",160,2022-05-08,"Hamilton","Kind Spirit",100,0,"unpl","4/1","4/1",32,82,-100,1844,16000,20,51.25,11.525,"Eased a point in mkt but is a strapping 2yo,well backed against a hotpot on debut, that one looking potentially classy. Could go either way from that but solid chance at the price.
Poor effort. Nothing going right at the moment, and in truth I'm not fanccying much at all.",5,5
"161",161,2022-05-10,"Chepstow","Darvel",100,1,"Won*","12/1","11/1",33,83,1200,3044,16100,20.4968944099379,51.5527950310559,18.9068322981366,"Rail draw so well placed  for a CD that favours front runners. Down to 0-70  (tried in pattern co for prev connections). 2nd run for new yard. Has been found an opportunity here.
Grabbed the lead and stayed there, fighting off a late challenge.",13,12
"162",162,2022-05-11,"Bath","Clashaniska",100,2,"2nd","15/4","6/4",33,84,-100,2944,16200,20.3703703703704,51.8518518518518,18.1728395061728,"Chance taken on debut for Wintle with Holly Doyle booked following a decent run for former yard when last out. If he gets out on terms he should go well.
Smashed up in mkt but the usual result. Got no run till too late and fast finish to beat all bar one. Unreal!",4.8,2.5
"163",163,2022-05-13,"Newbury","Puerta De Vega",100,0,"unpl","15/2","13/2",33,84,-100,2844,16300,20.2453987730061,51.5337423312883,17.4478527607362,"Looked a sprinter to follow at kempton and not seen to best effect last time. ETB but presumably mkt worried about return to turf. Worth chancing to handle it though at this price.
Market was right as usual. No turn of foot on this surface. Also no cover from outside draw.",8.5,7.5
"164",164,2022-05-13,"Hamilton","Saulire Star",100,3,"3rd","9/2","100/30",33,85,-100,2744,16400,20.1219512195122,51.8292682926829,16.7317073170732,"ETB and a widish draw but has enough in her favour in a weak hcp. Now in basement grade she been shaping like ready to win in better races, down in wts again and Allan takes over
Had this down to two possibles and again, I was on the wrong one.",5.5,4.3
"165",165,2022-05-14,"Newmarket","Aunt Bethany",100,2,"2nd","7/2","3/1",33,86,-100,2644,16500,20,52.1212121212121,16.0242424242424,"May be the likeliest winner of a small field fillies hcp in which Jame Doyle might be able to control. Main danger is a hard puller who wears a hood and others make little appeal.
And again the main danger beat me - hood has meant nothing.",4.5,4
"166",166,2022-05-17,"Wolves","Tributo",100,1,"Won*","17/2","13/2",34,87,850,3494,16600,20.4819277108434,52.4096385542169,21.0481927710843,"Outsider of four in a claimer but best in at the weights and no reason I can see why he shouldn't show his form, esp if Hollie Doyle can get him out on terms and press the pace.
A truely crazy market - What did they not see?! Raced in second, Hollie kicked and he wasn't for catching",9.5,7.5
"167",167,2022-05-17,"Wolves","Mutara",100,0,"unpl","9/2","4/1",34,87,-100,3394,16700,20.3592814371257,52.0958083832335,20.3233532934132,"Seems well in with favourite on a line through the fourth on his last run when he was inconvenienced by postn/pace, best of those off pace and finishing his race with more to give.
Line taken didn’t work, over complicated things. Wouldn't have won but caught far side and had a rough trip.",5.5,5
"168",168,2022-05-19,"Lingfield","History Writer",100,2,"2nd","7/1","8/1",34,88,-100,3294,16800,20.2380952380952,52.3809523809524,19.6071428571429,"Claimer where two stand out at wts but this one takes huge class drop and has a fair claimer on board. No notable recent form and may be firmly on downgrade but this is easier.
Never looked particularly comfortable but still good enough for second against a previous seller winner",8,9
"169",169,2022-05-20,"Catterick","Twin Appeal",100,1,"Won*","11/2*","11/2",35,89,550,3844,16900,20.7100591715976,52.6627218934911,22.7455621301775,"Veteran who is way below his peak but has been given a big chance at the wts by connections in a classified claimer where the risk of losing him seems remote.
ETB but that was half expected. Short of room but got clear in the ff and won well in the end.",6.5,6.5
"170",170,2022-05-20,"Worcester","Gold Leader",100,2,"2nd","24.52","24.52",35,90,-100,3744,17000,20.5882352941176,52.9411764705882,22.0235294117647,"Speculative bet with a step up to 23f for one who needed her first run for new yard. Bred to need a trip she's a net 7lb lower with an in form apprentice taking over. Likely ETB
Can't believe the number of big priced seconds. Drifter then well backed late, moved well looked winner but fav got on top from last",24.52,24.52
"171",171,2022-05-21,"Stratford","Light N Strike",100,1,"Won*","4.7ex","11/4",36,91,352,4096,17100,21.0526315789474,53.2163742690059,23.953216374269,"Front two in betting look likeliest but they are wrong way around. Fav vulnerable off higher mark for narrow win LTO. This one lost momentum last time, rallied and had running left.
Couldn't see this getting beat. Travelled and jumped like a dream and beat the favourite with plenty in hand.",4.7,3.8
"172",172,2022-05-22,"Fakenham","Fine By Her",100,1,"Won*","7/1","11/2",37,92,700,4796,17200,21.5116279069767,53.4883720930233,27.8837209302326,"Fav might not be so well suited by stamina test as suggested; this one should be and is preferred at the price. Coming down wts and has run in a couple of races that have worked out.
Travelled well behind a strong pace. Took over before the turn in and stayed on well to beat morning favourite who had drifted a bit.",8,6.5
"173",173,2022-05-23,"Huntingdon","Planned Paradise",100,0,"unpl","11/4","15/8",37,92,-100,4696,17300,21.3872832369942,53.1791907514451,27.1445086705202,"Looks likeliest improver in this small field chase, would have won on chase debut but for a blunder at last. Has to deal with a 6lb hike for that but others seem vulnerable so price fair.
A miserable effort after travelling well and looking the probable winner till it petered out. No 1 rule, oppose a Skelton runner and it will beat yours.",3.8,2.9
"174",174,2022-05-24,"Punchestown","Frontline Worker",100,1,"Won*","4.5ex","7/2",38,93,333,5029,17400,21.8390804597701,53.448275862069,28.9022988505747,"BF a point bigger than elsewhere a concern. but  solid in bumpers and has run in two good races over timber. Strong connections so potential for better in a really weak maiden.
The market didn't like her (6.8 BSP) but she was always in the front three and got the better of a two way go from two out. Bad race though.",4.5,4.5
"175",175,2022-05-24,"Bath","My Boy Charles",100,0,"unpl","11/1","9/1",38,93,-100,4929,17500,21.7142857142857,53.1428571428571,28.1657142857143,"Wintle yet to get going this year, but he'll have winners here. In race where not much is in any sort of form, the price is ok for a previous course winner. 1m on the short side.
Tried to make all over shorter trip, couldn't stay there, swamped ff. Got the wrong one as Wintle won the first at shorter odds.",12,10
"176",176,2022-05-28,"Punchestown","Ballybough Native",100,2,"2nd","100/30","2/1",38,94,-100,4829,17600,21.5909090909091,53.4090909090909,27.4375,"Fav marginally better form but has disappointed a couple of times and this one won a good point, then ran well till late over further last time indecent maiden. Can improve.
Backed. Maybe not Blackmore's finest hour, though horse wants further. Lost place in the final half mile but was gaining fast once clear after the last.",4.3,3
"177",177,2022-05-28,"Chelmsford","Natural Path",100,3,"3rd","5/1","3/1",38,95,-100,4729,17700,21.4689265536723,53.6723163841808,26.7175141242938,"Returned to UK from a stint in Bahrain with a good third behind two classy horses. Not an easy race but a decent percentage call at the price to build on that dropped in class.
Had to wait for a gap but didn't quicken when it came. Fav and a Godolphin getting first run, but hard to call it unlucky.",6,4
"178",178,2022-05-29,"Punchestown","Salvador Ziggy",100,1,"Won*","10ex","11/4",39,96,855,5584,17800,21.9101123595506,53.9325842696629,31.3707865168539,"Very much type that Elliot will improve after a few quiet runs for former yard. Still on tails to two out in a red hot maiden in January, not knocked about. More to come.
Always travelling just off the lead, made good gains into the straight and on top from the back of the last. Heavily backed.",11,3.8
"179",179,2022-05-30,"Redcar","Depart A Minuit",100,0,"unpl","7/1","13/2",39,96,-100,5484,17900,21.7877094972067,53.6312849162011,30.6368715083799,"Most of the shorter ones are drawn high and lower draws limited. O'Meara colt was given easy time on quailfying run and may be kindly treated - has potential for better to come.
Asking too much in a race like this - chasing action!! Under a ride from half way and never better than mid div.",8,7.5
"180",180,2022-05-31,"Ballinrobe","Toss Again",100,1,"Won*","4.8ex","5/2",40,97,361,5845,18000,22.2222222222222,53.8888888888889,32.4722222222222,"Price not over generous given some angles on others  but is the likeliest improver in this field and will have to find very little on debut 3rd to be winning it.
Cracking front running ride from Rachel B. Fav was cruising but she got stuck in and had enough to repel that one and another late challenge to hold on.",4.8,3.5
"181",181,2022-05-31,"Tipperary","Inflection Point",100,0,"unpl","9/1","13/2",40,97,-100,5745,18100,22.0994475138122,53.5911602209945,31.7403314917127,"Suspect mettle, head in the air and worried out of it latest. But best at weights for claimer and that race was a 0-90. Needs delivering late. The price provides some risk justification.
Seemed to want to lead but Keane had other ideas. Had every chance turning in, but seemed to hang fire again and passed by three. One to avoid.",10,7.5
"182",182,2022-06-01,"Newton Abbott","Hayedo",100,0,"unpl","5/2","9/4",40,97,-100,5645,18200,21.978021978022,53.2967032967033,31.0164835164835,"Bled last time, otherwise would be a shorter price for this as the only progressive horse in the field, a wide margin maiden winner with lines that suggest he could be well in.
Tried to make all but it was never going to happen. Beaten three out. Three joint favourites in a 5 runner hcp and none of them won. So hard these races.",3.5,3.2
"183",183,2022-06-02,"Uttoxeter","Lamanver Storm",100,0,"unpl","14/1","11/1",40,97,-100,5545,18300,21.8579234972678,53.0054644808743,30.3005464480874,"Potentially overpriced after showing more than before over fences last time, ridden too aggressively by a claimer and taking a tired fall, yet shaping well prior. Stable jockey back on.
Jumping fell apart in the second half of the race and he didn't stay the 3m anyway. Market right, although didn't drift further on course.",15,12
"184",184,2022-06-03,"Down Royal","Run For Pat",100,0,"unpl","9/4","85/40",40,97,-100,5445,18400,21.7391304347826,52.7173913043478,29.5923913043478,"Looks to have been found a decent opportunity despite having had a few goes already. The oposition looks thin, bar the favourite who has chasing form at a slightly better level.
Should have asked why this wan't even shorter. The answer would have been because he's just a horse that doesn't win. Definitely one to steer clear of.",3.2,3.1
"185",185,2022-06-03,"Tramore","What An Ocean",100,0,"unpl","4/1","11/2",40,97,-100,5345,18500,21.6216216216216,52.4324324324324,28.8918918918919,"A few with form around the same level but all have taken backward steps at some point whereas this one is gradually getting better with her racing and should be strong in the finish.
Never went a yard - either hated the track or was just ungenuine. Reminders before halfway and jumped badly.",5,6.5
"186",186,2022-06-04,"Chepstow","Newton Jack",100,0,"unpl","9/2","2/1",40,97,-100,5245,18600,21.505376344086,52.1505376344086,28.1989247311828,"Should go well from forward pitch on the near rail. CD winner,  back in trip. These circumstances should play to his strengths. Stable has struck this week and down a bit in class.
Did what was expected but had a serious rival. That one a clear second choice and as it turned out a huge price. Touched off for second in a field of 7.",5.5,3
"187",187,2022-06-05,"Kilbeggan","Duffys Hodey",100,0,"unpl","10/1","10/1",40,97,-100,5145,18700,21.3903743315508,51.8716577540107,27.5133689839572,"A non trier over shorter trips, fines and bans when making good late ground over 2m Nov. No show on return latest but may be worth chancing at this step up to 3m in a poor handicap.
Not off a yard. Anchored in long last and made no attempt to close. The horse maybe has no ability anyway but no chance of showing it if he had.",11,11
"188",188,2022-06-11,"Downpatrick","North Of Nashville",100,3,"3rd","4.9ex","11/4",40,98,-100,5045,18800,21.2765957446809,52.1276595744681,26.8351063829787,"The big three yards all have runners but each looks vulnerable. This mare has the best piece of form in the race and latest was a step back in the right direction after a flop on heavy.
Mullins ran two both hard to fancy but money came for one of them at that was that. Tried to make all but the winner harried all the way and she faded.",4.9,3.8
"189",189,2022-06-11,"York","Without A Fight",100,1,"Won*","9/2","4/1",41,99,450,5495,18900,21.6931216931217,52.3809523809524,29.0740740740741,"Has to carry a penalty which brings others close but his third in the Aston Park behind two classy types reads well and he might be a bit better than that.
Atzeni wanted to take a lead but wasn't happy with early pace so pushed him up to dispute - right decision - once taken to front 2 out he kept on well.",5.5,5
"190",190,2022-06-15,"Wexford","Memorable Daise",100,0,"unpl","11/2","13/2",41,99,-100,5395,19000,21.5789473684211,52.1052631578947,28.3947368421053,"A poor mares race - I'll chance that this Mullins lesser light had problem last backend, shaping amiss twice. She won a bumper and contested a listed event prior and this 20f is better.
Has no jumping ability. Beaten from the back of the first,  her constant poor technique soon had her anchored last. A truly shocking display.",6.5,7.5
"191",191,2022-06-16,"Lingfield","Non Stop",100,1,"Won*","7/1","9/2",42,100,700,6095,19100,21.9895287958115,52.3560209424084,31.9109947643979,"Unsuited by turf on 2nd hcp last time when fav. improved on hcp debut prior, just caught late over 7f. Plenty of stamina in pedigree now stepped up to 1m back on AW & eased in grade.
Fantastic ride from Atzeni, had to work to get a good sit from box 10, although no doubt he was on the best horse. Powered clear from the turn in.",8,5.5
"192",192,2022-06-17,"Redcar","Fifteenthamendment",100,0,"unpl","16/5","5/2",42,100,-100,5995,19200,21.875,52.0833333333333,31.2239583333333,"Chief rival made all at Ripon lto, (a bit specialised). This one won on hcp debut against a pace bias to make a mockery of his opening mark. Up just 5lb,can take aim to follow up.
Weakest of the front three in the market but none of them won. Just didn't pick up the way he did last time, maybe flattered by that run.",4.2,3.5
"193",193,2022-06-17,"Ascot","Inspiral",100,1,"Won*","100/30","15/8",43,101,334,6329,19300,22.279792746114,52.3316062176166,32.7927461139896,"Clearly slow to come to hand, missing the Gns, but if she's trained on and is close to the filly she looked last year there will never be another chance to back her at this sort of price.
Maybe Dettori's nightmare week affected the early price, but the money came and she's absolutely hosed up. A huge price and great to grab it.",4.3,2.9
"194",194,2022-06-18,"Newmarket","Misscall",100,1,"Won*","13/2","6/1",44,102,650,6979,19400,22.680412371134,52.5773195876289,35.9742268041237,"Trappy but I think this one is overpriced. Best race last time in 2nd hcp (after stumbling start prior try) pushing the winner to be nrst fin, in a style that suggests this track should suit.
I thought Barzalona had made too much use of her but she was game and stuck her neck out to hold the late challenge from the favourite.",7.5,7
"195",195,2022-06-18,"Ascot","Samburu",100,0,"unpl","7/1","11/2",44,102,-100,6879,19500,22.5641025641026,52.3076923076923,35.2769230769231,"Top rated below TFWR, so looking at improvers. Two unbeaten but one is AW bred. This one a pattern horse in a handicap when winning at York, obv more to come so worth a try.
Unplaced but not beaten far, every chance but couldn't get  past the front running winner when looking dangerous and faded one that one was on top.",8,6.5
"196",196,2022-06-18,"Newmarket","Open Mind",100,3,"3rd","7/1","11/2",44,103,-100,6779,19600,22.4489795918367,52.5510204081633,34.5867346938776,"Looked like a sure winner of a hcp when improved runner up on debut. One too good when dropped back to 6f last time closing late after sluggish start;  this return to seven should suit..
Nicely placed but couldn't put the race to bed when asked to quicken up. He was well booked for 3rd but rallied last 25yds and actually went close.",8,6.5
"197",197,2022-06-19,"Pontefract","Million Thanks",100,2,"2nd","5.4ex","3/1",44,104,-100,6679,19700,22.3350253807107,52.7918781725888,33.9035532994924,"Well bred imposing sort who has improved as 3yo. Has a bit to find with a couple, but one v weak. Has scope to go higher after 4th on hcp debut last time to Brittania 3rd, learning.
Mkt couldn't pick a favourite, swapped so many times, but on wrong one. Winner looked btn, then ran on to just touch me off on line after ev ch.",5.4,4
"198",198,2022-06-20,"Windsor","Romantic Memories",100,0,"unpl","8.8ex","11/2",44,104,-100,6579,19800,22.2222222222222,52.5252525252525,33.2272727272727,"Morning weakness. Has taken a couple of runs to find form but was a doing best work finish in 2nd to subsequent winner who got away from the frontBroke well lto on 3rd run in hcp.
Broke well and travelled first part on outside but I was just waiting for the arms to go and sure enough they started 3 out and she faded right away.",8.8,6.5
"199",199,2022-06-20,"Ballinrobe","Miss Vizeun",100,0,"unpl","6/1","100/30",44,104,-100,6479,19900,22.1105527638191,52.2613065326633,32.5577889447236,"Took a step forward on her 2nd hcp lto, held up and staying better than anticipated. Keane will have learned plenty about her from that and I expect him to make more use of her today.
Backed late. Stuck wide all the way but she looked in need of further after losing a prominent pitch early. Effort wide but always struggling with the pace.",7,4.3
"200",200,2022-06-21,"Beverley","She's The Danger",100,0,"unpl","5/1","7/2",44,104,-100,6379,20000,22,52,31.895,"Ran her best race last time rallying to get back up on line, but angle here is for her to get out and across to the rail and make all. If she gets to the front she'll be hard to pass.
So much has to go right with a bet like this and she didn't lead. She was never quick enough to keep herself out of trouble. Poor effort.",6,4.5
"201",201,2022-06-22,"Worcester","Petit Palais",100,0,"unpl","12/1","10/1",44,104,-100,6279,20100,21.8905472636816,51.7412935323383,31.2388059701493,"Mkt may underestimate. French form from trainer's satellite yd, but has been higher in wts in UK. Won 2 runs ago and has been in some good races. Holes in form of all other runners.
Strange decision to go from the front and was never going to stay there. I've overestimated him and he didn't stay anyway, fading right away to long last.",13,11
"202",202,2022-06-23,"Nottingham","Kaasirr",100,0,"unpl","9/2","7/2",44,104,-100,6179,20200,21.7821782178218,51.4851485148515,30.5891089108911,"Swerved this Crisford horse so far, not shown what he'd looked capable of at 2. But stepped up lto, clear of rest 2nd to a well hcpd fav, and could be ready to show what he can do now.
Ultimately disappointing couldn't win. Had to wait for a gap, & couldn't quicken  when it came, winner got back up. 3rd in a tight finish. Not progressing.",5.5,4.5
"203",203,2022-06-24,"Newcastle","Digital",100,0,"unpl","12.5ex","9/2",44,104,-100,6079,20300,21.6748768472906,51.2315270935961,29.9458128078818,"Gosforth Park Cup so fiercely competitive but may be worth chancing this. Unexposed on AW he improved for 5f on tapeta when last seen (Southwell) and TF rate him 5lb higher on it.
Ran well but not quite quicken up with the first three late on. Backed off the boards late but Godolpin runner was backed all day (HT) and much the best.",12.5,5.5
"204",204,2022-06-25,"Curragh","Wexford Native",100,1,"Won*","4/1","18/5",45,105,400,6479,20400,22.0588235294118,51.4705882352941,31.7598039215686,"Needs to settle, pulled too hard off a steady enough pace in St James Palace.  Has form required for this listed race after a good 4th here in the Guineas.  One other lacks a turn of foot.
Tremendous race. Settled this time but didn't look the winner turning in as Coolmore runner got to the front. Stuck his head down though and led on line.",5,4.6
"205",205,2022-06-26,"Windsor","Prince Of Abington",100,0,"unpl","11/1","9/1",45,105,-100,6379,20500,21.9512195121951,51.219512195122,31.1170731707317,"Well backed but amiss last time when tailed off in this grade on ground he's advoided prior. Had face higher grade in form winners. Well handicapped, headgear refitted & back on g-f.
Ran the same race as last time so whatever the problem is its not resolved. Never looked like getting near the front and faded to finish last.",12,10
"206",206,2022-06-27,"Windsor","Thanks Monica",100,0,"unpl","7/2","7/2",45,105,-100,6279,20600,21.8446601941748,50.9708737864078,30.4805825242718,"Haggas fav and others looks beatable, by elimination this filly can get her head in front in 3rd hcp. 2nd to a better horse last time she looks likely to give her running. Missed price tho.
Put myself off off the actual winner early on. Idiot. Once more the horse was taken to the front only to be swallowed up. Miserable and uninpiring.",4.5,4.5
"207",207,2022-06-28,"Chepstow","Connies Rose",100,0,"unpl","6/1","4/1",45,105,-100,6179,20700,21.7391304347826,50.7246376811594,29.8502415458937,"Big field which would tie me up in knots but this is the only high drawn pace horse in the field and has Rossa Ryan up. A set up that has paid its way plent of times in the past.
Couldn't really have asked for more, Led near side though she never went clear. Once headed she just wasn't good enough and is probably not that good.",7,5
"208",208,2022-06-28,"Roscommon","Yaxeni",100,2,"2nd","4/1","3/1",45,106,-100,6079,20800,21.6346153846154,50.9615384615385,29.2259615384615,"A trappy listed race, in the end Yaxeni's form wins every one of the past dozen or so runnings, won a listed two runs ago and close 2nd G3 last time, is game and best in at wts. Keeping it simple.
Hard to take! There were dangers but she put them all to the sword from the front bar a big improver who caught her on the line. Well clear of the rest.",5,4
"209",209,2022-06-29,"Thirsk","Little Emma Lou Lou",100,0,"unpl","6/1","4/1",45,106,-100,5979,20900,21.5311004784689,50.7177033492823,28.6076555023923,"Taking on the front two this one expected to improve for a step up to 14f and won last time. She's taken her time to start to show her potential, always looking to benefit from time and distance.
Never went a yard. She beat the favourites but wasn't good enough, looking slow and ponderous, and getting early shakes which was lay in running fare.",7,5
